shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Export,13.808029,100.57016,636,6360
Export,13.808074,100.57008,637,6370
Export,13.808118,100.57,638,6380
Export,13.808163,100.569919,639,6390
Export,13.808207,100.569839,640,6400
Export,13.808252,100.569758,641,6410
Export,13.808296,100.569678,642,6420
Export,13.808341,100.569598,643,6430
Export,13.808385,100.569517,644,6440
Export,13.80843,100.569437,645,6450
Export,13.808474,100.569356,646,6460
Export,13.808518,100.569276,647,6470
Export,13.808563,100.569196,648,6480
Export,13.808607,100.569115,649,6490
Export,13.808652,100.569035,650,6500
Export,13.808696,100.568955,651,6510
Export,13.808741,100.568874,652,6520
Export,13.808785,100.568794,653,6530
Export,13.80883,100.568713,654,6540
Export,13.808874,100.568633,655,6550
Export,13.808919,100.568553,656,6560
Export,13.808963,100.568472,657,6570
Export,13.809008,100.568392,658,6580
Export,13.809052,100.568312,659,6590
Export,13.809097,100.568231,660,6600
Export,13.809141,100.568151,661,6610
Export,13.809185,100.56807,662,6620
Export,13.80923,100.56799,663,6630
Export,13.809274,100.56791,664,6640
Export,13.809319,100.567829,665,6650
Export,13.809363,100.567749,666,6660
Export,13.809408,100.567669,667,6670
Export,13.809452,100.567588,668,6680
Export,13.809497,100.567508,669,6690
Export,13.809541,100.567427,670,6700
Export,13.809586,100.567347,671,6710
Export,13.80963,100.567267,672,6720
Export,13.809675,100.567186,673,6730
Export,13.809719,100.567106,674,6740
Export,13.809764,100.567026,675,6750
Export,13.809808,100.566945,676,6760
Export,13.809852,100.566865,677,6770
Export,13.809897,100.566784,678,6780
Export,13.809941,100.566704,679,6790
Export,13.809986,100.566624,680,6800
Export,13.81003,100.566543,681,6810
Export,13.810075,100.566463,682,6820
Export,13.810119,100.566383,683,6830
Export,13.810164,100.566302,684,6840
Export,13.810208,100.566222,685,6850
Export,13.810253,100.566141,686,6860
Export,13.810297,100.566061,687,6870
Export,13.810342,100.565981,688,6880
Export,13.810386,100.5659,689,6890
Export,13.810431,100.56582,690,6900
Export,13.810475,100.565739,691,6910
Export,13.810519,100.565659,692,6920
Export,13.810564,100.565579,693,6930
Export,13.810608,100.565498,694,6940
Export,13.810653,100.565418,695,6950
Export,13.810697,100.565338,696,6960
Export,13.810742,100.565257,697,6970
Export,13.810786,100.565177,698,6980
Export,13.810831,100.565096,699,6990
Export,13.810875,100.565016,700,7000
Export,13.81092,100.564936,701,7010
Export,13.810964,100.564855,702,7020
Export,13.811009,100.564775,703,7030
Export,13.811053,100.564695,704,7040
Export,13.811098,100.564614,705,7050
Export,13.811142,100.564534,706,7060
Export,13.811186,100.564453,707,7070
Export,13.811231,100.564373,708,7080
Export,13.8112538,100.564332,709,7090
Export,13.8057754,100.5741693,710,7100
Export,13.805821,100.57409,711,7110
Export,13.805867,100.57401,712,7120
Export,13.805912,100.57393,713,7130
Export,13.805958,100.573851,714,7140
Export,13.806004,100.573771,715,7150
Export,13.80605,100.573691,716,7160
Export,13.806095,100.573612,717,7170
Export,13.806141,100.573532,718,7180
Export,13.806187,100.573452,719,7190
Export,13.806232,100.573373,720,7200
Export,13.806278,100.573293,721,7210
Export,13.806324,100.573214,722,7220
Export,13.806369,100.573134,723,7230
Export,13.806415,100.573054,724,7240
Export,13.806461,100.572975,725,7250
Export,13.806506,100.572895,726,7260
Export,13.806552,100.572815,727,7270
Export,13.806598,100.572736,728,7280
Export,13.806644,100.572656,729,7290
Export,13.806689,100.572576,730,7300
Export,13.806735,100.572497,731,7310
Export,13.806781,100.572417,732,7320
Export,13.8067842,100.5724108,733,7330
Export,13.8054401,100.5745244,734,7340
