route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction
purple,00012,00118,PP16,18:24:54,PT4,18:58:31,21240,00:34:41,1
purple,00012,00318,PP16,18:30:54,PT4,19:04:31,21240,00:34:41,1
purple,00012,01418,PP16,18:36:54,PT4,19:10:31,21240,00:34:41,1
purple,00012,00418,PP16,18:42:54,PT4,19:16:31,21240,00:34:41,1
purple,00012,01518,PP16,18:48:54,PT4,19:24:39,21240,00:37:02,1
purple,00012,00601,PP16,18:54:54,PP01,19:28:31,20899,00:33:37,1
purple,00012,006#,PP01,19:29:01,DEP-PL,19:38:01,1348,00:09:00,1
purple,00012,00718,PP16,19:00:54,PT4,19:34:31,21240,00:34:41,1
purple,00012,01618,PP16,19:07:24,PT4,19:44:26,21240,00:37:02,1
purple,00012,00801,PP16,19:12:54,PP01,19:48:39,20899,00:35:45,1
purple,00012,008#,PP01,19:49:09,DEP-PL,19:58:09,1348,00:09:00,1
purple,00012,01018,PP16,19:19:24,PT4,19:53:01,21240,00:34:41,1
purple,00012,01118,PP16,19:26:24,PT4,20:02:09,21240,00:37:02,1
purple,00012,01301,PP16,19:31:28,PP01,20:06:43,20899,00:35:45,1
purple,00012,013#,PP01,20:07:43,DEP-PL,20:16:43,1348,00:09:00,1
purple,00012,00118,PP16,19:38:15,PT4,20:11:52,21240,00:34:41,1
purple,00012,00318,PP16,19:45:30,PT4,20:21:15,21240,00:37:02,1
purple,00012,01401,PP16,19:51:21,PP01,20:24:28,20899,00:33:37,1
purple,00012,014#,PP01,20:25:28,DEP-PL,20:34:28,1348,00:09:00,1
purple,00012,00418,PP16,19:57:21,PT4,20:30:58,21240,00:34:41,1
purple,00012,01518,PP16,20:04:30,PT4,20:40:32,21240,00:37:02,1
purple,00012,00718,PP16,20:14:00,PT4,20:49:45,21240,00:37:02,1
purple,00012,01618,PP16,20:23:30,PT4,21:59:15,21240,00:37:02,1
purple,00012,01018,PP16,20:33:00,PT4,21:08:45,21240,00:37:02,1
purple,00012,01118,PP16,20:42:30,PT4,21:18:15,21240,00:37:02,1
purple,00012,00118,PP16,20:52:00,PT4,21:27:45,21240,00:37:02,1
purple,00012,00318,PP16,21:01:30,PT4,21:37:15,21240,00:37:02,1
purple,00012,00418,PP16,21:11:00,PT4,21:46:45,21240,00:37:02,1
purple,00012,01518,PP16,21:20:30,PT4,21:56:15,21240,00:37:02,1
purple,00012,00718,PP16,21:30:00,PT4,22:05:45,21240,00:37:02,1
purple,00012,01618,PP16,21:39:30,PT4,22:15:15,21240,00:37:02,1
purple,00012,01018,PP16,21:49:00,PT4,22:24:45,21240,00:37:02,1
