shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_12,13.756409,100.506017,36
shp_12,13.755986,100.50535,37
shp_12,13.757354,100.498486,38
shp_12,13.757884,100.495915,39
shp_12,13.758465,100.494353,40
shp_12,13.758815,100.493579,41
shp_12,13.758942,100.493027,42
shp_12,13.759707,100.482695,43
shp_12,13.76035,100.478067,44
shp_12,13.760615,100.476609,45
shp_12,13.760883,100.475757,46
shp_12,13.761198,100.47491,47
shp_12,13.761713,100.474063,48
shp_12,13.762889,100.472703,49
shp_12,13.788884,100.440059,50
shp_13,13.713871,100.756474,0
shp_13,13.718624,100.757761,1
shp_13,13.723293,100.759864,2
shp_13,13.725148,100.760207,3
shp_13,13.725965,100.760213,4
shp_13,13.726824,100.760134,5
shp_13,13.727374,100.759738,6
shp_13,13.727827,100.759097,7
shp_13,13.727921,100.75833,8
shp_13,13.727462,100.738964,9
shp_13,13.732834,100.691468,10
shp_13,13.734951,100.671524,11
shp_13,13.737931,100.645196,12
shp_13,13.74105,100.618214,13
shp_13,13.742984,100.600045,14
shp_13,13.744167,100.591403,15
shp_13,13.753336,100.55006,16
shp_13,13.754948,100.54281,17
shp_13,13.756568,100.535517,18
shp_13,13.759004,100.525571,19
shp_13,13.760816,100.523381,20
shp_13,13.764295,100.523595,21
shp_13,13.793364,100.535523,22
shp_13,13.806023,100.540502,23
shp_13,13.81657,100.544712,24
shp_13,13.824856,100.548525,25
shp_13,13.84176,100.557547,26
shp_13,13.919832,100.600766,27
shp_14,13.721125,100.50294,0
shp_14,13.721136,100.505612,1
shp_14,13.721824,100.506138,2
shp_14,13.721928,100.506535,3
shp_14,13.721521,100.508959,4
shp_14,13.725034,100.509185,5
shp_14,13.73013,100.50868,6
shp_14,13.734466,100.495977,7
shp_15,13.721521,100.508959,0
shp_15,13.720271,100.508863,1
shp_15,13.716581,100.507178,2
shp_15,13.712537,100.502586,3
shp_15,13.710974,100.498466,4
shp_15,13.70916,100.495591,5
shp_15,13.70695,100.491428,6
shp_15,13.703031,100.488467,7
shp_16,13.892515,100.40821,0
shp_16,13.8809749,100.4093117,1
shp_16,13.8788085,100.4094833,2
shp_16,13.876642,100.409655,3
shp_16,13.8756421,100.4101271,4
shp_16,13.8750588,100.4105562,5
shp_16,13.8746838,100.411157,6
shp_16,13.8744339,100.4119295,7
shp_16,13.8744339,100.4128307,8
shp_16,13.8748088,100.4196113,9
shp_16,13.8757254,100.433988,10
shp_16,13.876517,100.4445881,11
shp_16,13.8766837,100.4482788,12
shp_16,13.8768087,100.4495233,13
shp_16,13.8766837,100.4507679,14
shp_16,13.8764754,100.451712,15
shp_16,13.876267,100.4526132,16
shp_16,13.8759754,100.4535574,17
shp_16,13.8748505,100.4562181,18
shp_16,13.8709341,100.4656166,19
shp_16,13.8705592,100.4666895,20
shp_16,13.8703508,100.4675478,21
shp_16,13.8702675,100.4687065,22
shp_16,13.8706841,100.4803795,23
shp_16,13.8707675,100.4820961,24
shp_16,13.8706841,100.4837698,25
shp_16,13.8704758,100.4851002,26
shp_16,13.8698092,100.4868597,27
shp_16,13.8659344,100.494284,28
shp_16,13.8651844,100.4958719,29
shp_16,13.8633928,100.4997772,30
shp_16,13.8625179,100.501923,31
shp_16,13.8616012,100.5048412,32
shp_16,13.8611846,100.5075449,33
shp_16,13.8607679,100.510549,34
shp_16,13.86031,100.513283,35
shp_16,13.859393,100.5197328,36
shp_16,13.859018,100.5205053,37
shp_16,13.8585596,100.5208486,38
shp_16,13.8578513,100.5209345,39
shp_16,13.856143,100.5198187,40
shp_16,13.8486637,100.5148405,41
shp_16,13.8442886,100.5119437,42
shp_16,13.843726,100.5116433,43
shp_16,13.8433718,100.5115575,44
shp_16,13.8430385,100.5115575,45
shp_16,13.8427468,100.5116004,46
shp_16,13.8423301,100.5117935,47
shp_16,13.8394133,100.5152053,48
shp_16,13.8298916,100.5265564,49
shp_16,13.8254952,100.5318135,50
shp_16,13.8249743,100.5322212,51
shp_16,13.824516,100.5325002,52
shp_16,13.8240576,100.5326933,53
shp_16,13.82349,100.532868,54
shp_16,13.8229949,100.5328649,55
shp_16,13.8201195,100.5325216,56
shp_16,13.806206,100.5309,57
shp_17,13.575246,100.573783,0
shp_17,13.578419,100.574958,1
shp_17,13.586346,100.580782,2
shp_17,13.594607,100.579316,3
shp_17,13.593774,100.56927,4
shp_17,13.593857,100.566157,5
shp_17,13.59611,100.56313,6
shp_17,13.632845,100.52978,7
shp_17,13.633734,100.529045,8
shp_17,13.634817,100.528541,9
shp_17,13.640782,100.526166,10
shp_17,13.649041,100.522873,11
shp_17,13.665227,100.516465,12
shp_17,13.666274,100.516026,13
shp_17,13.666999,100.515588,14
shp_17,13.667875,100.514689,15
shp_17,13.668709,100.513395,16
shp_17,13.680034,100.495361,17
shp_17,13.684409,100.48903,18
shp_17,13.688898,100.482796,19
