route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction,speed,calendar
purple,00011,00716,PP01,11:42:00,PP16,12:17:18,21240,,0,1,WE
purple,00011,00816,PP01,11:51:30,PP16,12:26:48,21240,,0,1,WE
purple,00011,00116,PP01,12:01:00,PP16,12:36:18,21240,,0,1,WE
purple,00011,00216,PP01,12:10:30,PP16,12:45:48,21240,,0,1,WE
purple,00011,00316,PP01,12:20:00,PP16,12:55:18,21240,,0,1,WE
purple,00011,00416,PP01,12:29:30,PP16,13:04:48,21240,,0,1,WE
purple,00011,00516,PP01,12:39:00,PP16,13:14:18,21240,,0,1,WE
purple,00011,00616,PP01,12:48:30,PP16,13:23:48,21240,,0,1,WE
purple,00011,00716,PP01,12:58:00,PP16,13:33:18,21240,,0,1,WE
purple,00011,00816,PP01,13:07:30,PP16,13:42:48,21240,,0,1,WE
purple,00011,00116,PP01,13:17:00,PP16,13:52:18,21240,,0,1,WE
purple,00011,00216,PP01,13:26:30,PP16,14:01:48,21240,,0,1,WE
purple,00011,00316,PP01,13:36:00,PP16,14:11:18,21240,,0,1,WE
purple,00011,00416,PP01,13:45:30,PP16,14:20:48,21240,,0,1,WE
purple,00011,00516,PP01,13:55:00,PP16,14:30:18,21240,,0,1,WE
purple,00011,00616,PP01,14:04:30,PP16,14:39:48,21240,,0,1,WE
purple,00011,00716,PP01,14:14:00,PP16,14:49:18,21240,,0,1,WE
purple,00011,00816,PP01,14:23:30,PP16,14:58:48,21240,,0,1,WE
purple,00011,00116,PP01,14:33:00,PP16,15:08:18,21240,,0,1,WE
purple,00011,00216,PP01,14:42:30,PP16,15:17:48,21240,,0,1,WE
purple,00011,00316,PP01,14:52:00,PP16,15:27:18,21240,,0,1,WE
purple,00011,00416,PP01,15:01:30,PP16,15:36:48,21240,,0,1,WE
purple,00011,00516,PP01,15:11:00,PP16,15:46:18,21240,,0,1,WE
