trip_id,start_time,end_time,headway_secs,exact_times
00718,11:03:03,11:40:05,570,
00818,11:12:33,11:49:35,570,
00118,11:22:03,11:59:05,570,
00218,11:31:33,12:08:35,570,
00318,11:41:03,12:18:05,570,
00418,11:50:33,12:27:35,570,
00518,12:00:03,12:37:05,570,
00618,12:09:33,12:46:35,570,
00718,12:19:03,12:56:05,570,
00818,12:28:33,13:05:35,570,
00118,12:38:03,13:15:05,570,
00218,12:47:33,13:24:35,570,
00318,12:57:03,13:34:05,570,
00418,13:06:33,13:43:35,570,
00518,13:16:03,13:53:05,570,
00618,13:25:33,14:02:35,570,
00718,13:35:03,14:12:05,570,
00818,13:44:33,14:21:35,570,
00118,13:54:03,14:31:05,570,
00218,14:03:33,14:40:35,570,
00318,14:13:03,14:50:05,570,
00418,14:22:33,14:59:35,570,
00518,14:32:03,15:09:05,570,
00618,14:41:33,15:18:35,570,
00718,14:51:03,15:28:05,570,
00818,15:00:33,15:37:35,570,
00118,15:10:03,15:47:05,570,
00218,15:19:33,15:56:35,570,
00318,15:29:03,16:06:05,570,
00418,15:38:33,16:15:35,570,
00518,15:48:03,16:25:05,570,
00618,15:57:33,16:34:35,570,
00718,16:07:03,16:44:05,570,
00818,16:16:33,16:53:35,570,
00118,16:26:03,17:03:05,570,
00218,16:35:33,17:12:35,570,
00318,16:45:03,17:22:05,570,
00418,16:54:33,17:31:35,570,
00518,17:04:03,17:41:05,570,
00618,17:13:33,17:50:35,570,
00718,17:23:03,18:00:05,570,
00818,17:32:33,18:09:35,570,
00118,17:42:03,18:19:05,570,
00218,17:51:33,18:28:35,570,
00318,18:01:03,18:38:05,570,
00418,18:10:33,18:47:35,570,
00518,18:20:03,18:57:05,570,
00618,18:29:33,19:06:35,570,
00718,18:39:03,19:16:05,570,
00818,18:48:33,19:25:35,570,
00118,18:58:03,19:35:05,570,
00218,19:07:33,19:44:35,570,
00318,19:17:03,19:54:05,570,
00418,19:26:33,20:03:35,570,
00518,19:36:03,20:13:05,570,
00618,19:45:33,20:22:35,570,
00718,19:55:03,20:32:05,570,
00818,20:04:33,20:41:35,570,
00118,20:14:03,20:51:05,570,
00218,20:23:33,21:00:35,570,
00318,20:33:03,21:10:05,570,
00418,20:42:33,21:19:35,570,
00518,20:52:03,21:29:05,570,
00618,21:01:33,21:38:35,570,
00718,21:11:03,21:48:05,570,
00818,21:20:33,21:57:35,570,
00118,21:30:03,22:07:05,570,
00218,21:39:33,22:16:35,570,
00318,21:49:03,22:26:05,570,
00418,21:58:33,22:35:35,570,
00518,22:08:03,22:45:05,570,
00601,22:17:33,22:53:18,570,
006#,22:53:48,23:02:48,570,
00701,22:27:03,23:02:48,570,
007#,23:03:18,23:12:18,570,
00801,22:36:33,23:12:18,570,
008#,23:12:48,23:21:48,570,
00101,22:46:03,23:21:48,570,
001#,23:22:18,23:31:18,570,
00201,22:55:33,23:31:18,570,
002#,23:31:48,23:40:48,570,
00301,23:05:03,23:40:48,570,
003#,23:41:18,23:50:18,570,
00401,23:14:33,23:50:18,570,
004#,23:50:48,23:59:48,570,
00501,23:24:03,23:59:48,570,
005#,0:00:18,0:09:18,570,
